Stn,lat,lon
aboo,8.99213,37.80948
adis,9.035,38.766
adtu,7.866912962,38.71910396
armi,6.062424,37.560857
asab,13.06291,42.65443
asos,10.05061,34.55294
bdmt,11.59981807,37.35965627
debk,13.15046,37.89395
djig,11.52628757,42.84706445
ginr,7.146,40.70842
hawa,7.051482022,38.49933
metu,8.27124,35.58567
nege,5.33466,39.58939
shis,11.98505,38.98815
