Time,SVID,S4_index,Dlat_IPP,Dlong_IPP,VTEC,Phi60_Sig1_60
2025-11-18 14:01:00,6,0.0,9.728112234267627,42.45423355222152,58.03497802490036,0.028
2025-11-18 14:01:00,11,,7.052920057113445,40.5878524525948,58.88663463048616,0.02
2025-11-18 14:01:00,12,0.09,13.164794548025116,33.96083242878697,64.21309718990754,0.051
2025-11-18 14:01:00,13,0.01,6.851225260830562,38.388992381947155,58.422281719273265,0.024
2025-11-18 14:01:00,15,0.02,7.597980755186,36.16379859035829,60.839541476719944,0.028
2025-11-18 14:01:00,19,0.01,13.668265594792858,41.28705143851478,62.15803024317326,0.04
2025-11-18 14:01:00,24,,12.1634029972976,37.46361998450314,59.892492293309566,0.028
2025-11-18 14:01:00,41,0.02,6.980575813027849,34.79438788592972,75.04747682287045,0.128
2025-11-18 14:01:00,51,0.06,13.96587962595527,41.567322928640486,80.3764039047376,0.232
2025-11-18 14:01:00,54,0.01,8.29108085425538,39.676300015483,88.88258758559148,0.078
2025-11-18 14:01:00,55,0.04,4.166647094443894,38.094356712083915,75.47045638736375,0.056
2025-11-18 14:01:00,61,0.02,12.159378654419413,41.51024624494094,84.14491796070135,0.159
2025-11-18 14:01:00,83,0.05,9.996825276890565,43.59189727986164,61.07947668038084,0.031
2025-11-18 14:01:00,89,0.0,9.016644855628973,37.06461004962158,62.57066040407104,0.075
2025-11-18 14:01:00,91,,13.503116015701904,39.74970656074291,64.69228588730287,0.034
2025-11-18 14:01:00,93,,12.479988722412358,34.79312028375435,64.69071468230452,0.034
2025-11-18 14:01:00,96,0.03,6.419315387081196,40.75302384677702,61.02719297208947,0.026
2025-11-18 14:01:00,99,0.0,6.297674636532855,38.83936747279678,63.60256024520402,0.02
2025-11-18 14:01:00,121,0.01,8.538268313396813,35.24704480228678,-678.0870093941838,0.062
2025-11-18 14:01:00,123,,8.538742925095061,37.791813976847905,-946.787250606501,0.064
2025-11-18 14:01:00,127,0.03,8.441068522711676,39.86969933718072,-115.94637948967934,0.274
2025-11-18 14:01:00,128,0.07,8.518371583664623,42.452509173008046,-92.01226696936746,0.238
2025-11-18 14:01:00,129,,8.491646358603331,43.624671286344864,,0.026
2025-11-18 14:01:00,134,0.09,8.468194743385872,43.79882713431948,,0.077
2025-11-18 14:01:00,136,0.03,8.529610023995538,36.284739621160284,-76.54970230651712,0.237
2025-11-18 14:01:00,201,,8.292764517929866,42.04531583636496,-16.87028810907686,0.029
2025-11-18 14:01:00,142,0.04,8.141961447684075,42.633006471639284,54.4609954042172,0.049
2025-11-18 14:01:00,145,0.0,8.353322297395524,40.110562687091544,57.05370086457918,0.027
2025-11-18 14:01:00,149,0.01,7.418378734130969,43.16865955437367,55.010126134191026,0.043
2025-11-18 14:01:00,150,0.02,13.641760575082596,42.4464933539235,62.657794965991975,0.058
2025-11-18 14:01:00,152,,6.051878397852809,37.486133564328156,52.47082319848188,0.033
2025-11-18 14:01:00,161,0.05,3.867174048269783,36.34617532872557,,0.028
2025-11-18 14:01:00,166,0.05,12.655182451190635,38.916802899359965,,0.026
2025-11-18 14:01:00,175,0.01,10.413250921702426,40.21399773484967,,0.022
2025-11-18 14:01:00,224,0.02,7.818915386524047,32.3657820521877,,0.032
2025-11-18 14:01:00,226,0.01,8.014175888665383,38.472736007812706,,0.018
2025-11-18 14:01:00,227,0.05,10.40633407730886,43.49811263821385,,0.024
2025-11-18 14:01:00,242,0.01,8.292764517929866,42.04531583636496,,0.024
2025-11-18 14:02:00,6,,9.728112234267627,42.45423355222152,57.471847925380466,0.03
2025-11-18 14:02:00,11,,7.084208073263824,40.62380989701462,58.45100246913346,0.025
2025-11-18 14:02:00,12,0.08,13.164794548025116,33.96083242878697,67.80790124173276,0.054
2025-11-18 14:02:00,13,0.01,6.771414350211657,38.37490127911129,57.77192023209332,0.031
2025-11-18 14:02:00,15,0.03,7.552971492342268,36.19095084956229,59.280059632074725,0.031
2025-11-18 14:02:00,19,0.04,13.668265594792858,41.28705143851478,63.79431513362323,0.039
2025-11-18 14:02:00,24,,12.1634029972976,37.46361998450314,59.6730981965504,0.032
2025-11-18 14:02:00,41,0.03,6.980575813027849,34.79438788592972,76.27094768757249,0.162
2025-11-18 14:02:00,51,0.03,13.91729072828541,41.65381187757864,81.18425694719497,0.184
2025-11-18 14:02:00,54,0.0,8.306477789000798,39.69062570634422,87.0727590265437,0.105
2025-11-18 14:02:00,55,0.03,4.166647094443894,38.094356712083915,74.42039180480488,0.068
2025-11-18 14:02:00,61,0.02,12.159378654419413,41.51024624494094,83.04976180610974,0.179
2025-11-18 14:02:00,83,0.03,10.079346309239337,43.5760590691122,61.03950432201742,0.032
2025-11-18 14:02:00,89,0.0,8.981841577718997,36.99767559784834,61.64211281486878,0.07
2025-11-18 14:02:00,91,0.03,13.503116015701904,39.74970656074291,64.55370119528752,0.035
2025-11-18 14:02:00,93,,12.548295118881303,34.853420379781035,64.49917631720167,0.039
2025-11-18 14:02:00,96,0.02,6.4535435068941975,40.800033529098386,62.19333548002276,0.028
2025-11-18 14:02:00,99,0.0,6.202426302488334,38.8410287542238,62.49710445189829,0.024
2025-11-18 14:02:00,121,,8.538268313396813,35.24704480228678,-671.9865918190784,0.062
2025-11-18 14:02:00,123,0.02,8.538742925095061,37.791813976847905,-945.0566721427475,0.075
2025-11-18 14:02:00,127,0.03,8.441068522711676,39.86969933718072,-118.78782003684118,0.281
2025-11-18 14:02:00,128,0.07,8.518371583664623,42.452509173008046,-94.69627666448169,0.292
2025-11-18 14:02:00,129,,8.491646358603331,43.624671286344864,,0.03
2025-11-18 14:02:00,134,0.09,8.468194743385872,43.79882713431948,,0.058
2025-11-18 14:02:00,136,0.02,8.529610023995538,36.284739621160284,-71.86832371182484,0.287
2025-11-18 14:02:00,201,,8.292764517929866,42.04531583636496,-6.416927976548432,0.03
2025-11-18 14:02:00,142,0.07,8.141961447684075,42.633006471639284,53.83782489151385,0.054
2025-11-18 14:02:00,145,0.0,8.353322297395524,40.110562687091544,56.696246421292564,0.029
2025-11-18 14:02:00,149,,7.418378734130969,43.16865955437367,55.229886837302075,0.044
2025-11-18 14:02:00,150,0.03,13.641760575082596,42.4464933539235,59.873151928721704,0.064
2025-11-18 14:02:00,152,0.01,6.051878397852809,37.486133564328156,52.20671183359345,0.048
2025-11-18 14:02:00,161,0.04,3.867174048269783,36.34617532872557,,0.034
2025-11-18 14:02:00,166,0.01,12.655182451190635,38.916802899359965,,0.027
2025-11-18 14:02:00,175,0.01,10.413250921702426,40.21399773484967,,0.025
2025-11-18 14:02:00,224,0.02,7.818915386524047,32.3657820521877,,0.035
2025-11-18 14:02:00,226,0.01,8.014175888665383,38.472736007812706,,0.025
2025-11-18 14:02:00,227,0.02,10.40633407730886,43.49811263821385,,0.029
2025-11-18 14:02:00,242,0.02,8.292764517929866,42.04531583636496,,0.026
2025-11-18 14:03:00,6,0.01,9.791121099745348,42.44307520372916,61.30073369059299,0.028
2025-11-18 14:03:00,11,0.01,7.084208073263824,40.62380989701462,54.419688387543914,0.019
2025-11-18 14:03:00,12,0.08,13.164794548025116,33.96083242878697,64.7387133279377,0.043
2025-11-18 14:03:00,13,0.01,6.771414350211657,38.37490127911129,57.145909954930204,0.024
2025-11-18 14:03:00,15,0.01,7.552971492342268,36.19095084956229,57.517962181910384,0.022
2025-11-18 14:03:00,19,0.08,13.836356751420162,41.38102953224831,59.021603164879004,0.037
2025-11-18 14:03:00,24,,12.064154797050772,37.507211220112374,57.312995345964,0.03
2025-11-18 14:03:00,41,0.04,6.912102385767864,34.83271165082351,74.43603878256238,0.132
2025-11-18 14:03:00,51,0.05,13.91729072828541,41.65381187757864,79.30467663454306,0.185
2025-11-18 14:03:00,54,0.01,8.361187272030973,39.65947175415812,88.95549516402691,0.129
2025-11-18 14:03:00,55,0.03,4.338829745603508,38.11837763866468,73.64221788031332,0.067
2025-11-18 14:03:00,61,0.05,12.264081782044196,41.605065329486756,83.5635233631184,0.139
2025-11-18 14:03:00,83,0.04,10.079346309239337,43.5760590691122,61.56257118288734,0.032
2025-11-18 14:03:00,89,0.02,8.950980962469064,37.000288870602716,62.576798266572325,0.053
2025-11-18 14:03:00,91,0.02,13.503116015701904,39.74970656074291,64.81719054534246,0.03
2025-11-18 14:03:00,93,0.04,12.548295118881303,34.853420379781035,65.51049888494467,0.032
2025-11-18 14:03:00,96,0.02,6.4535435068941975,40.800033529098386,60.95662353332299,0.028
2025-11-18 14:03:00,99,0.02,6.202426302488334,38.8410287542238,62.261115100519646,0.021
2025-11-18 14:03:00,121,,8.538268313396813,35.24704480228678,-675.5564958628631,0.055
2025-11-18 14:03:00,123,,8.538742925095061,37.791813976847905,-947.8679216145731,0.052
2025-11-18 14:03:00,127,0.02,8.441068522711676,39.86969933718072,-117.85058122935955,0.296
2025-11-18 14:03:00,128,0.06,8.518371583664623,42.452509173008046,-93.48823960329206,0.207
2025-11-18 14:03:00,129,,8.491646358603331,43.624671286344864,,0.024
2025-11-18 14:03:00,134,0.07,8.468194743385872,43.79882713431948,-571.4968103479471,0.081
2025-11-18 14:03:00,136,0.04,8.529610023995538,36.284739621160284,-75.3766168038659,0.278
2025-11-18 14:03:00,201,,8.292764517929866,42.04531583636496,-18.37809849381026,0.026
